Fig;Bacteria;Medium;Hours;xc value;xc err;yc value;yc err;r value;r err;Xo;Ri;Ro;DR;w;tau;1-alpha;alpha
Fig4a;S. aureus;PBS, TSB, and methyl violet (without Lugol);0 h;115.0;0.969;28.2;2.95;82.2;2.40;77.2;37.8;192.2;154.4;653;0.00153;0.777;0.223
Fig4a;S. aureus;PBS, TSB, and methyl violet (without Lugol);1 h;78.8;0.135;2.9;0.36;47.9;0.23;47.8;31.0;126.6;95.6;442;0.00226;0.961;0.039
Fig4a;S. aureus;PBS, TSB, and methyl violet (without Lugol);2 h;89.8;0.199;8.9;0.51;56.7;0.36;56.0;33.7;145.8;112.0;442;0.00226;0.900;0.100
Fig4a;S. aureus;PBS, TSB, and methyl violet (without Lugol);3 h;77.0;0.132;10.3;0.34;48.4;0.25;47.3;29.7;124.3;94.5;364;0.00275;0.863;0.137
Fig4b;E. coli;PBS, TSB, and methyl violet (without Lugol);0 h;108.2;0.191;15.0;0.45;76.8;0.34;75.4;32.9;183.6;150.8;299;0.00334;0.875;0.125
Fig4b;E. coli;PBS, TSB, and methyl violet (without Lugol);1 h;115.8;0.875;28.6;1.89;86.0;1.68;81.1;34.7;197.0;162.2;203;0.00494;0.784;0.216
Fig4b;E. coli;PBS, TSB, and methyl violet (without Lugol);2 h;78.4;0.382;17.7;0.83;53.1;0.74;50.1;28.3;128.5;100.2;246;0.00406;0.784;0.216
Fig4b;E. coli;PBS, TSB, and methyl violet (without Lugol);3 h;92.7;0.338;17.8;0.66;64.3;0.55;61.8;30.9;154.5;123.6;246;0.00406;0.822;0.178
Fig5a;S. aureus;PBS, TSB, methyl violet, and Lugol;0 h;125.4;0.441;46.5;1.30;100.9;1.15;89.6;35.9;215.0;179.1;299;0.00334;0.695;0.305
Fig5a;S. aureus;PBS, TSB, methyl violet, and Lugol;1 h;79.8;0.275;20.8;0.93;52.3;0.77;48.0;31.8;127.8;96.0;653;0.00153;0.740;0.260
Fig5a;S. aureus;PBS, TSB, methyl violet, and Lugol;2 h;66.9;0.146;9.6;0.49;37.9;0.35;36.6;30.3;103.6;73.3;965;0.00104;0.837;0.163
Fig5a;S. aureus;PBS, TSB, methyl violet, and Lugol;3 h;64.5;0.186;13.0;0.70;39.1;0.53;36.9;27.6;101.3;73.8;1426;0.00070;0.785;0.215
Fig5b;E. coli;PBS, TSB, methyl violet, and Lugol;0 h;82.6;0.116;20.1;0.40;53.8;0.32;49.9;32.7;132.5;99.9;653;0.00153;0.757;0.243
Fig5b;E. coli;PBS, TSB, methyl violet, and Lugol;1 h;60.9;0.075;8.4;0.25;33.4;0.18;32.3;28.5;93.2;64.6;965;0.00104;0.837;0.163
Fig5b;E. coli;PBS, TSB, methyl violet, and Lugol;2 h;76.7;0.397;17.5;1.52;50.7;1.18;47.6;29.0;124.3;95.2;1111;0.00090;0.775;0.225
Fig5b;E. coli;PBS, TSB, methyl violet, and Lugol;3 h;97.3;0.334;32.3;1.17;73.6;0.99;66.1;31.2;163.4;132.2;538;0.00186;0.711;0.289